type,type.md,data type,meta,
uj ujf,uj.md,union join,join,
ungroup,ungroup.md,flattened table,table,
union,union.md,distinct items of combination of two lists,list,
update,update.md,insert or replace table records,query,
upper,lower.md#upper,upper-case,text,uniform
upsert,upsert.md,add table records,table,
value,value.md,value of a variable or dictionary key; value of an executed sting,interpret,
var,var.md,variance,math,aggregate
view,view.md,definition of a dependency,meta,
views,view.md#views,list of defined views,meta,
vs,vs.md,encode,list,text,
wavg,avg.md#wavg,weighted average,math,aggregate
where,where.md,replicated items,list,
while,while.md,repeat under condition,control,
within,within.md,flag items within range,math,uniform
wj wj1,wj.md,window join,join,
wsum,sum.md#wsum,weighted sum,math,aggregate
xasc,asc.md#xasc,table sorted ascending by columns,table,uniform
xbar,xbar.md,interval bar,sort,
xcol,cols.md#xcol,rename table columns,table,
xcols,cols.md#xcols,re-order table columns,table,
xdesc,desc.md#xdesc,table sorted descending by columns,table,uniform
xexp,exp.md#xexp,raised to a power,math,atomic
xgroup,xgroup.md,table grouped by keys,table,
xkey,keys.md#xkey,set primary keys of a table,table,
xlog,log.md#xlog,base-x logarithm,math,atomic
xprev,next.md#xprev,previous items,list,uniform
xrank,xrank.md,items assigned to buckets,sort,
